Country,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Annex I,1.A.1.c.ii  Oil and Gas Extraction,103496.0698,99581.26189,104005.3934,107640.076,103983.9677,103386.1094,104412.9268,104234.7887,109505.9447,118969.3632,123934.5184,128614.0138,132292.4503,134825.8247,133148.701,133014.4079,136129.11,152834.8919,150418.0766,144018.6301,145855.681,147479.9809,153317.2566,152172.747,168278.1474,175556.5081,174538.5497,177759.2283,182261.2952,185445.4995,192057.2526,182527.1094
Annex I,1.A.1.c.iii  Other Energy Industries,15628.6561,15988.22523,14626.65101,13326.83798,13730.96361,9503.438831,12994.19303,11585.39061,10669.99979,10955.92032,11358.28829,11466.27936,10393.47692,11483.72168,13867.33853,15872.68477,19752.44503,18504.33947,19440.85414,18528.65739,19175.08516,18205.32225,17268.71257,17883.96438,16255.22607,13499.4489,14333.80981,13875.62484,16015.06401,16143.46253,15999.90789,6031.695284
Annex I,1.A.1.c.iv  Other,66020.81845,60779.68398,50448.4213,47928.71073,44304.50428,40881.23681,34466.47429,27986.81345,23949.75459,21542.46205,21051.64439,18946.32834,19593.25852,19398.95766,20475.14679,20927.04689,20719.27242,20166.84844,16629.65198,14117.21321,16916.43769,17447.49619,11280.75168,10980.94086,10519.53437,10125.75614,10159.0545,10234.99828,13043.46214,12400.1457,9563.064849,9032.849441
Annex I,1.A.2  Manufacturing Industries and Construction,2366988.074,2301850.304,2161529.511,2103510.78,2059491.261,2122387.955,2190551.464,2144216.475,2064982.932,2004135.356,2061965.596,2032254.313,2016211.65,2028842.489,2043968.078,2017707.028,2036910.278,2039712.94,1917585.244,1696626.054,1826201.277,1801867.416,1810543.36,1810901.75,1758013.385,1742561.36,1771146.885,1784175.758,1795327.34,1765910.665,1666580.209,1706211.259
Annex I,1.A.2.a  Iron and Steel,470631.5236,456230.7383,393155.7445,374229.0356,360080.0512,379898.6049,387075.1146,362976.7125,359183.664,348907.2058,368724.5761,359036.9827,359464.1289,357287.9389,359942.3992,365406.1584,365528.8971,381729.0145,352877.219,295013.4613,337646.6959,337731.0579,329304.1315,326458.0229,319471.3646,318012.2918,306726.4884,311718.2826,311279.4929,301570.4923,261812.7849,286206.9786
Annex I,1.A.2.b  Non-Ferrous Metals,63711.37954,63935.83807,55696.08508,54132.6294,53939.4383,54559.93607,58183.94513,57685.82108,58580.14135,63881.84015,64954.03779,64962.28758,63966.33118,62626.76806,61329.82981,47280.08655,47465.88193,46830.73271,44079.17411,39747.58118,39733.99983,38815.23302,38197.61386,37210.24617,37217.01589,34837.98527,35323.3899,34651.51456,33790.89647,33384.52276,31673.83091,21825.8926
Annex I,1.A.2.c  Chemicals,301485.698,301390.5313,286046.5687,280881.2458,288598.3362,300511.067,304306.8073,301212.987,281917.9165,279742.4453,279132.4084,274359.204,263972.0607,257923.3443,258860.4459,250773.4374,242461.0583,238938.1811,238121.2433,229406.3036,239808.1828,254780.6631,250313.2887,248743.0348,261777.8299,242108.2864,235579.7748,239251.3013,244255.1969,242068.0578,239435.442,256356.4669
Annex I,"1.A.2.d  Pulp, Paper and Print",140686.5123,144171.2484,138177.7076,138948.2647,144470.1993,145986.4528,144885.7281,143990.5921,139380.064,137162.445,139279.5537,134265.3839,130658.1207,128720.0431,126914.9996,125851.8831,121967.5656,116370.968,108916.4324,103473.6142,100905.6476,101745.7363,101292.9264,98652.23318,96346.24478,95056.60576,93191.86022,92138.05491,94974.68928,95049.67569,89983.35432,86580.97288
Annex I,"1.A.2.e  Food Processing, Beverages and Tobacco",132910.7224,137854.9988,132618.5531,134295.2471,131490.3727,132477.1127,135148.7378,130405.8066,129500.881,129263.2234,127817.6426,132794.4486,134479.7387,130473.5968,125609.6762,124122.3559,117668.3512,107183.7645,98367.11025,86647.99228,83432.64602,102876.0489,103768.7873,102948.0937,102589.2518,99657.86086,101164.514,100698.5612,103583.5508,102549.0112,101270.5294,100735.9571
Annex I,1.A.2.f  Non-metallic Minerals,250803.8265,247012.6927,239705.9032,231676.8839,232297.4301,230687.3429,233380.6089,230456.7824,222954.754,225158.8195,225386.2528,224389.5468,224309.3238,231462.5571,234118.294,239112.1541,238627.984,238351.9395,264580.3487,225486.4473,230274.8642,228920.117,227841.6433,216466.451,216868.667,209781.0209,212791.388,212422.1392,211177.6369,202527.254,202245.203,201431.4923
Annex I,1.A.2.g  Other,1006758.411,951254.2565,916128.9492,889347.4732,848615.433,878267.4389,927570.5219,917487.7735,873465.5109,820019.3766,856671.1245,842446.4593,839361.9458,860348.2409,877192.4331,865160.9525,903190.5395,910308.3392,810643.7164,716850.6541,794399.2403,736998.5597,759824.9691,780423.6687,723743.0115,741895.0771,786369.4693,793295.9041,796265.8763,788761.6517,740159.0646,753073.4987
Annex I,1.A.2.g.i  Manufacturing of Machinery,6931.913576,6126.242222,7452.966574,7966.204877,8953.95318,7888.517178,9269.348565,8808.888976,7437.320847,6257.88781,5320.847182,6061.708468,5470.195265,5567.611662,5165.750797,4968.198845,4567.806887,4440.471846,4550.439458,3883.454361,4141.106811,4138.139858,3447.634133,3655.2594,3174.460263,3672.987037,3578.522649,3611.843579,3571.287108,3352.030493,3130.048896,3257.863967
Annex I,1.A.2.g.ii  Manufacturing of Transport Equipment,1345.01969,1404.411789,1162.663218,2095.426887,2042.984279,1885.937468,1943.242906,1749.098,1642.043079,1871.597628,1612.682091,1553.293729,1188.697695,1268.439218,1084.96633,1041.050764,1144.673082,1135.63381,1022.822662,883.4478009,976.9001389,910.297189,899.9886446,1017.157942,896.9812969,900.0404494,922.0084684,960.852319,1181.351012,1106.418289,1075.094507,1015.896131
Annex I,1.A.2.g.iii  Mining (Excluding Fuels) and Quarrying,8062.243393,7690.61389,8095.972917,9001.099655,9142.043928,10373.25032,10613.78246,11060.12987,10453.28033,10343.01508,11125.66409,10261.97073,10885.35605,9737.674924,9124.566557,9316.538774,9578.006319,10511.36755,11211.42646,11539.60901,11346.27203,12305.87722,14273.04363,15104.17215,14810.38677,13891.35284,13440.65472,14612.54011,16775.31803,16794.06534,17260.01581,7783.976196
Annex I,1.A.2.g.iv  Wood and Wood Products,1456.634422,1440.071759,1375.964539,1852.834347,1629.903933,2019.187601,2107.235158,2353.682542,2421.663962,2276.133681,2342.670104,2277.131922,2210.167662,2287.194902,2760.521152,2435.778996,2488.072153,2058.929599,1868.369046,1595.350046,1537.483588,1547.273519,1067.616219,997.1658393,1126.550822,1376.922845,1661.959986,1682.101005,1792.799429,1682.029112,1461.070998,1494.659334
Annex I,1.A.2.g.v  Construction,8918.474252,8067.377211,7751.744434,8095.545752,7393.709211,6973.886921,7927.471276,7059.807133,6433.576032,6145.51795,5939.80198,5919.374143,6516.561531,6467.147025,6448.405457,6739.911745,7181.017099,6883.071838,6851.796455,6277.648514,6443.745491,6533.004001,7446.249732,7572.804164,7223.594346,6896.755757,7071.840604,7401.083829,7802.469187,8033.948765,7339.240242,5616.127577
Annex I,1.A.2.g.vi  Textile and Leather,5551.463942,5758.881745,5845.617479,6729.322172,6979.924828,8865.929362,8512.340595,8592.55795,7992.75971,7328.358421,7123.361623,6363.559739,6551.743212,6224.589196,5816.630006,5063.006044,4564.491617,4167.903275,3574.48741,3165.499899,2974.908481,2758.537774,2740.624864,2656.381734,2443.481876,2477.058833,2550.319898,2388.697648,2533.81339,2450.329237,2232.164773,2128.254645
Annex I,1.A.2.g.vii  Off-road Vehicles and Other Machinery,35274.3204,34303.45929,33838.42422,33786.46662,33861.15604,34859.45675,35332.16095,37615.77312,38552.1939,38944.07553,40373.38128,40122.56237,39347.11026,39767.36373,40634.35812,41370.27671,42119.99043,42268.00371,40289.8224,36355.03465,37696.34587,38411.75067,37407.2598,35996.00353,34832.55422,37438.0944,37623.26759,40391.37225,41717.3711,41658.07151,38323.08423,40340.6716
Annex I,1.A.2.g.viii  Other,732604.4216,697446.4155,671047.2043,646852.461,609533.8275,633735.4773,681557.8309,673469.5661,634769.9005,584613.1086,631079.5188,618061.934,614726.8539,636625.4706,658228.4086,655389.0605,694456.8295,702554.9321,610132.9747,536216.8828,607549.7798,547427.5546,573331.2233,594760.3047,544354.7454,556985.6678,598625.7032,599177.6986,601151.1434,596995.4203,551883.212,570923.9321
Annex I,1.A.3  Transport,3152821.778,3096800.926,3127793.805,3137464.233,3186316.398,3236938.934,3315847.02,3330001.046,3397718.323,3488151.507,3514069.858,3503624.722,3564704.744,3593225.043,3661836.537,3675193.72,3701874.379,3728131.082,3598222.334,3474160.018,3494085.328,3466994.467,3432083.913,3448060.159,3497146.424,3535510.909,3583251.795,3626185.885,3669841.952,3668710.238,3198938.171,3376465.074
Annex I,1.A.3.a  Domestic Aviation,207672.937,192326.117,194389.3025,192868.9593,203079.0199,204012.6735,216909.6826,220872.4198,224385.1612,230207.1313,232491.0115,225773.378,221369.8728,215290.8505,226087.9118,231832.1825,228230.0835,227452.0006,219498.0105,197637.1571,194203.8125,192898.2534,189832.8564,195301.0467,194187.6688,204581.9817,214755.523,222479.2198,225633.9771,233952.7481,151850.1832,185720.3082
Annex I,1.A.3.b  Road Transportation,2537816.079,2514325.496,2574137.458,2597709.725,2641749.973,2689846.926,2758319.813,2796167.64,2860958.516,2934736.549,2946207.198,2969085.517,3024213.915,3069131.675,3115868.152,3115488.933,3136929.126,3164334.736,3055079.632,2992528.915,2997788.601,2963243.355,2950788.79,2954484.162,3027312.085,3053119.698,3085358.871,3107788.892,3136766.283,3127578.163,2774443.947,2900739.762
Annex I,1.A.3.b.i  Cars,1410897.096,1382589.981,1398177.039,1382562.371,1380728.941,1386428.249,1402362.814,1398690.349,1409835.75,1425433.51,1410494.132,1412652.869,1430528.621,1435344.495,1428983.939,1403002.952,1386900.7,1393644.858,1356586.354,1350658.307,1337315.49,1299860.012,1230685.428,1238721.427,1258605.391,1258511.117,1269238.313,1259531.553,1263289.751,1263065.527,1082419.171,1109131.353
Annex I,1.A.3.b.ii  Light Duty Trucks,412009.6888,426685.5624,457180.6416,484654.4294,513143.5659,539707.8968,573768.8993,603359.6643,642516.9534,681081.0002,699890.2002,716751.864,741563.4915,766282.9084,794199.9548,799368.9218,812721.715,819091.0293,774779.4223,774547.4126,776124.6421,788929.6186,837404.2915,824333.0671,850570.7925,857138.006,880787.6867,891095.0184,901075.9954,895129.3794,780541.5334,836899.7402
Annex I,1.A.3.b.iii  Heavy Duty Trucks and Buses,659843.7287,651026.8233,664758.2667,674707.3519,695354.7624,708414.3252,724564.4158,737592.8916,752926.9146,770735.0234,778118.9974,782641.2534,793783.8945,807380.4737,829613.8437,850392.844,869054.3359,877352.6493,851514.7837,795345.6973,813138.602,802255.9422,794434.2731,796632.3895,819381.2595,837686.7734,828675.6698,847131.0463,861450.5449,860107.5586,805641.9925,837486.9444
Annex I,1.A.3.b.iv  Motorcycles,19979.31368,19665.6939,19647.85487,19374.05697,19399.97109,19687.55789,19621.41767,19931.90015,20546.49448,21056.35963,20002.08319,19880.01489,20074.86778,20448.33548,21556.07144,19976.03937,21702.58957,22517.34002,22486.16331,22135.09904,20931.33201,20694.43425,21240.78697,20720.63251,21161.93204,20993.10368,21169.04909,20985.03298,21065.05955,21384.77745,19021.67361,20400.78312
Annex I,1.A.3.b.v  Other,35086.25191,34357.43531,34373.65544,36411.51569,33122.73261,35608.89644,38002.26619,36592.83468,35132.40343,36430.65573,37701.78463,37159.51578,38263.04053,39675.46288,41514.34288,42748.17609,46549.78499,51728.85915,49712.90882,49842.39889,50278.53534,51503.34848,67024.01072,74076.64548,77592.70993,78790.69829,85488.15208,89046.24178,89884.93228,87890.91967,86819.57713,96820.94093
Annex I,1.A.3.c  Railways,87430.75014,81785.05492,77957.63419,76321.3693,71922.64939,71435.52376,71654.72916,70457.84985,68859.12796,70704.69857,72480.12929,70758.52154,69803.86187,70590.26816,74187.44289,74615.85525,78166.20615,76307.539,72704.59738,61968.27441,63798.1847,67329.29077,65163.13202,65515.27035,69965.8087,67797.48092,63347.39615,66259.45812,67732.45123,65618.59547,58650.65424,50223.80736
Annex I,1.A.3.d  Domestic Navigation,111248.339,105848.8857,111492.0898,105689.3978,107964.8842,111709.3106,110048.0838,95172.9315,86961.97799,96158.42595,117280.9716,94100.15948,98788.77458,87047.32313,86861.61584,92549.11508,95892.3357,100700.6896,88083.52749,82182.72036,87294.22098,88066.32153,78570.32662,76439.51863,64249.2145,69324.56951,75744.63727,79957.33212,79065.44944,79036.96209,67435.70742,84896.46128
Annex I,1.A.3.e  Other Transportation,208653.6729,202515.3724,169817.3201,164874.7815,161599.8713,159934.5005,158914.7115,147330.2047,156553.5396,156344.7028,145610.5474,143907.1457,150528.32,151164.9256,158831.4148,160707.634,162656.6282,159336.1168,162856.5666,139842.9508,151000.5085,155457.246,147728.808,156320.1617,141431.6468,140687.1782,144045.3676,149700.9827,160643.7912,162523.7696,146557.6787,154884.7348
Annex I,1.A.3.e.i  Pipeline Transport,165246.5493,162397.2525,130921.0485,131070.283,130742.3216,129731.37,130744.7422,122458.8246,133037.7797,133962.2533,123928.4906,121647.2891,128190.6663,129248.7129,136511.2369,138666.5563,137226.1804,138048.7841,142017.0609,120336.4451,130836.7939,134759.8743,126892.3247,134918.6044,120483.0248,120355.5724,122878.408,128030.9965,138649.5992,139712.3168,125597.9367,133309.6945
Annex I,1.A.3.e.ii  Other,43261.80624,40118.11993,38896.27159,33801.37346,30854.42469,30200.00539,28166.84422,24871.38019,23515.75998,22376.19944,21682.05683,22259.85655,22337.65366,21916.21272,22320.1779,22041.0777,25430.4478,21287.33273,20839.50567,19506.50571,20163.71462,20697.37171,20836.48333,21401.64712,20948.72702,20331.60577,21167.1143,21670.0206,21994.24551,22811.45282,20959.74199,21575.04035
Annex I,1.A.4  Other Sectors,2115657.99,2141927.841,2083273.836,2097814.559,2002846.94,2006713.536,2089080.31,2003799.643,1920824.928,1948554.325,1971800.012,1997840.786,1944134.297,1997288.953,1979695.216,1941316.66,1870398.271,1814215.132,1888134.767,1846205.175,1880041.056,1790795.158,1693159.023,1787944.872,1710685.001,1734479.552,1712078.165,1744661.842,1813398.385,1803574.297,1689006.307,1703457.784
Annex I,1.A.4.a  Commercial/Institutional,708406.7171,708102.9049,621916.0466,596816.6414,576743.523,584335.9961,598584.5379,576755.3068,560726.2423,568302.917,621100.5157,634577.369,605981.2578,614539.4098,612047.4417,570838.8242,553837.9347,536572.5048,550489.7912,530951.5789,537347.6637,512873.8412,482290.5197,518245.7477,499813.6073,539905.2871,529871.9742,533102.7643,544694.9631,543388.549,509505.3556,518974.9855
Annex I,1.A.4.a.i  Stationary Combustion,570387.6786,567423.4265,484800.2233,456877.6569,440040.0042,440924.9447,456101.2374,433134.8682,409659.7184,409924.8704,464662.0345,475497.4112,448378.9927,451730.6136,443672.7083,399306.0501,387442.1793,380143.4981,393522.57,385812.4401,390196.0796,377740.5335,351849.8644,378903.6692,371802.0743,410998.6227,400114.8733,402097.3048,405340.4004,408606.571,380125.5271,392801.8496
Annex I,1.A.4.a.ii  Off-road Vehicles and Other Machinery,7879.393271,7840.142445,7219.71604,7127.435211,6595.272535,7157.712095,7076.167145,7345.332351,7642.169847,7624.370769,7480.405121,7437.255119,7644.488452,7426.922404,7457.481081,7464.670186,7410.735085,6868.358519,6592.762628,6474.844986,7740.657792,8437.800837,8318.145048,8419.443324,7812.191453,8114.382935,8534.80757,8868.43113,9179.729496,9275.64403,8557.316843,9166.086313
Annex I,1.A.4.a.iii  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Annex I,1.A.4.b  Residential,1188504.829,1218993.774,1271283.808,1315244.711,1244004.097,1237690.063,1312935.931,1252631.562,1192533.647,1212428.129,1173117.88,1186952.489,1168177.049,1211655.78,1196185.381,1195900.119,1147701.156,1107620.712,1164414.539,1144889.72,1176204.985,1109791.627,1065227.392,1123646.797,1061149.987,1039992.635,1025825.304,1052847.14,1110242.165,1102544.983,1023087.033,1032945.579
Annex I,1.A.4.b.i  Stationary Combustion,713521.1507,725843.925,771119.2481,803043.4359,746891.0669,741528.5001,777494.8555,744025.9246,715789.7844,713310.219,650981.4106,673721.4852,656874.9769,683191.1146,674880.3649,682998.1808,679615.6454,628261.1942,676774.3449,668508.9036,700044.9516,652241.5295,647521.4934,659190.5676,594646.0841,604072.4534,613324.5057,637461.0412,659765.2918,649068.9849,598969.2316,609963.5777
Annex I,1.A.4.b.ii  Off-road Vehicles and Other Machinery,2598.485188,2807.537932,2839.394061,2819.316458,2889.902828,2826.919647,2781.951509,2843.64871,2916.681722,3054.51963,3124.130526,3186.319421,3228.4378,3294.825058,3376.943456,3405.007517,3401.971218,3414.912343,3384.369471,3517.809875,3436.742471,3418.079106,3404.857654,3372.58468,3326.302023,3352.085046,3339.326425,3305.201232,3279.873241,3262.212377,3145.58182,2888.370219
Annex I,1.A.4.b.iii  Other,346761.7872,356154.8603,362260.0283,373474.5714,364009.8113,360122.0751,390844.2219,371268.7718,337179.3731,356711.2229,377838.8638,368707.3206,366791.2496,386075.496,375022.9584,364900.6479,327144.1402,346971.7317,354055.7101,342866.9746,341459.0771,332725.5004,287980.9762,335999.3962,353527.04,323636.9142,298398.8305,298878.2824,344647.9291,348086.4239,318782.9348,319121.2694
Annex I,1.A.4.c  Agriculture/Forestry/Fishing,218746.4442,214831.162,190073.9812,185753.2064,182099.3204,184687.4774,177559.841,174412.7749,167565.0384,167823.2787,177581.6168,176310.9277,169975.9898,171093.7633,171462.3937,174577.7164,168859.1806,170021.9157,173230.4367,170363.8755,166488.4067,168129.6896,145641.1107,146052.3266,149721.407,154581.6293,156380.8872,158711.9378,158461.2564,157640.7653,156413.9177,151537.2193
Annex I,1.A.4.c.i  Stationary,71157.98412,71734.2026,62198.58437,62871.04194,61218.88436,61417.1525,61106.05898,56623.82494,53527.10296,53368.96544,49579.19835,51162.88264,48796.73319,49361.23833,50073.72117,50694.03616,50231.46167,50533.15845,50425.47796,51521.11261,53530.0445,52540.16586,53269.8907,52897.52898,50764.97178,51486.38478,53396.40444,53619.0926,52164.76491,51661.20887,48842.74198,44795.99458
Annex I,1.A.4.c.ii  Off-road Vehicles and Other Machinery,126305.4767,121570.8094,106579.2385,102068.2929,101316.7479,103946.7108,97276.60349,98887.46928,95248.00963,96306.25887,109762.1374,106327.8452,103402.8338,103707.57,103857.1202,106766.698,101912.4482,102925.0595,108745.9708,103523.0332,98816.73551,102292.5705,79555.47495,81311.82652,85981.53918,89973.48796,89678.40159,92310.08341,93856.03954,93476.62767,94680.60644,93843.68869
Annex I,1.A.4.c.iii  Fishing,21282.98342,21526.15001,21296.15836,20813.87161,19563.68812,19323.61413,19177.17852,18901.48064,18789.92585,18148.05439,18240.28105,18820.19987,17776.42277,18024.95496,17531.5524,17116.98231,16715.2707,16563.69774,14058.98786,15319.72972,14141.62665,13296.95324,12815.74504,11842.97105,12974.89605,13121.75652,13306.08114,12782.76178,12440.45199,12502.92879,12890.56925,12897.53605
Annex I,1.A.5  Other (Not specified elsewhere),543646.6734,521495.4058,292751.4914,275467.7751,248123.1064,245908.0704,229627.9719,241185.2515,240721.2286,269627.5512,234287.5913,244285.0044,246777.6161,253157.6813,279576.6965,272407.5108,273518.4201,260193.4549,251787.4538,222060.5575,220688.6235,214530.0252,215140.7881,207912.1139,207601.7178,217594.0571,203321.9103,209567.8611,216848.3654,223226.3771,212348.341,226021.7743
Annex I,1.A.5.a  Stationary,478927.8696,462377.3476,241588.5398,226270.755,202612.4451,202041.7375,186534.1249,198741.0849,198354.9845,229097.2925,195668.6857,206639.1506,210000.3048,214131.9231,238993.6311,235289.8493,239477.8394,224812.0659,217314.8548,190883.1032,190686.884,187844.3895,189044.5755,184096.5061,179954.7868,190982.6344,177882.2936,184977.6561,193265.3932,199740.2598,189236.406,203358.4045
Annex I,1.A.5.b  Mobile,64718.80376,59118.0582,51162.95156,49197.02013,45510.66124,43866.33287,43093.84697,42444.16669,42366.24411,40530.25863,38618.9056,37645.85381,36777.31132,39025.75823,40583.06539,37117.66154,34040.58072,35381.38892,34472.59898,31177.45432,30001.73945,26685.63579,26096.2126,23815.60776,27646.93092,26611.42272,25439.61666,24590.20493,23582.97224,23486.11739,23111.93499,22663.36979
Annex I,Waste Incineration with Energy Recovery included as Biomass,25109.23345,26218.66221,27102.82356,27925.08602,28732.16806,30103.98992,31700.10947,33078.28889,33962.24853,35568.39007,38340.30972,39944.68276,42351.70342,44630.10955,45909.30138,47664.67354,48776.50134,49224.58356,50167.71884,50202.51197,51490.87192,52838.66357,53854.38869,53268.68404,54105.38066,53769.86198,55891.59655,57819.0926,58885.78909,61156.26154,61364.21924,63751.55069
Annex I,Waste Incineration with Energy Recovery included as Fossil Fuels,23138.02448,24063.57466,24963.83418,24589.27458,26558.3667,27058.51419,26255.43037,27021.34196,25281.4794,26403.39953,28924.63742,30940.56423,32900.53348,34543.24297,35643.99584,36198.3667,36695.75137,38378.56844,39185.61731,38955.68998,41443.65643,41804.73652,44218.28469,44819.65519,46849.45648,49680.16844,53628.14413,55732.76078,57346.90148,60195.96009,59277.0746,58957.82465
Annex I,1.AB  Fuel Combustion - Reference Approach,13990395.34,13840099.62,13269128.86,13135059.81,12947991.76,13028609.71,13306294.91,13255944.5,13212671.4,13277705.47,13534499.32,13580578.32,13648342.92,13849275.4,14024843.14,13987301.38,13916467.74,14036367.04,13708832.39,12855240.81,13165860.64,13065454.36,12959877.56,12800645.48,12583295.14,12527756.87,12373192.35,12427758.18,12516639.01,12161803,11134724.43,11413033
Annex I,"1.AD  Feedstocks, Reductants and Other Non-energy Use of Fuels",445673.7262,415467.8114,394574.9781,365767.4943,351151.5505,361252.6818,355681.8235,362344.9929,349027.7735,361183.4069,380461.1062,370526.1299,371734.7802,386996.2921,401882.0021,395720.0902,408517.041,417282.0765,404250.5582,348335.2587,385730.6987,396343.0319,395794.2319,390449.523,376127.0105,373116.8749,378120.1834,375016.9795,371200.9995,366669.7569,5968023563,359969.0423
